,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85148000425,10.1145/3561391,,,The Perception of Teachers on Usability and Accessibility of Programming Materials for Children with Visual Impairments,ar,Article,Van Der Meulen A.,60108010;60019816;60008734;129182145,Saxion University of Applied Sciences;Universiteit Leiden;Vrije Universiteit Amsterdam;Royal Dutch Vision,Deventer;Leiden;Amsterdam;Huizen,Netherlands;Netherlands;Netherlands;Netherlands,4,"Van Der Meulen, Anna;Hartendorp, Mijke;Voorn, Wendy;Hermans, Felienne",57222814221;36547979900;58102758800;35573133300,60019816;60108010;129182145;60019816-60008734,2022-12-29,29 December 2022,ACM Transactions on Computing Education,,19700183047,19466226,Journal,23,1,14,,"Programming education is strongly emerging in elementary and high school. Diversity and inclusion are important topics, however, insights on suited programming materials for younger learners with visual impairments are lacking. A wide range of programming materials for children exists, diverse in both what is being programmed (output) and how this is done (input), yet often relying on visual features. An understanding of the usability and accessibility aspects of these different materials is important to inform educational practice and to increase understanding of what makes programming materials suited for low vision and blind children. The aim of this study is to explore the usability and accessibility of programming materials currently used in education to low vision and blind children in the Netherlands. A focus group was conducted with six teachers or IT experts, all working with the target group in special education. The thematic analysis of the discussion of 25 materials (including unplugged lessons, robots and robotic kits, block-based and text-based languages) showed the potential of several materials, especially unplugged lessons, and the continuing search for suited materials and workforms specifically for the blind children. Furthermore, prioritizing ""fun""and close connections to children's daily life as well as careful explorations of usability at the cognitive level came forward as important factors for future research and development in programming materials for low vision and blind children. These insights can contribute to obtaining an inclusive approach to programming for young learners.",Children's programming materials | usability and accessibility | visual impairments,0,0,,,,undefined,
1,2-s2.0-85152480935,10.1145/3556539,,,Training PPA Models for Embedded Memories on a Low-data Diet,ar,Article,Last F.,60104055;60019722,Intel Deutschland GmbH;Technische Universität München,Munich;Munich,Germany;Germany,2,"Last, Felix;Schlichtmann, Ulf",57202820057;6603456416,60019722-60104055;60019722,2022-12-24,24 December 2022,ACM Transactions on Design Automation of Electronic Systems,10844309,18662,15577309,Journal,28,2,3556539,,"Supervised machine learning requires large amounts of labeled data for training. In power, performance, and area (PPA) estimation of embedded memories, every new memory compiler version is considered independently of previous compiler versions. Since the data of different memory compilers originate from similar domains, transfer learning may reduce the amount of supervised data required by pre-training PPA estimation neural networks on related domains. We show that provisioning times of PPA models for new compiler versions can be reduced significantly by exploiting similarities among different compilers, versions, and technology nodes. Through transfer learning, we shorten the time to provision PPA models for new compiler versions, which speeds up time-critical periods of the design cycle. Using only 901 training samples (10%) is sufficient to achieve an almost worst-case (98th percentile) estimation error of 2.67% and allows us to shorten model provisioning times from 40 days to less than one week without sacrificing accuracy. To enable a diverse set of source domains for transfer learning, we devise a new, application-independent method for overcoming structural domain differences through domain equalization that attains competitive results when compared to domain-free transfer. A high degree of automation necessitates the efficient assessment of the best source domains. We propose using various metrics to accurately identify four of the five best among 45 datasets with low computational effort.",artificial neural networks | deep learning | Electronic design automation | few-shot learning | machine learning | memory compilers | regression | transfer learning,0,0,,,,undefined,
2,2-s2.0-85158150979,10.1145/3582099.3582133,,,Multiple Robots Path Planning based on Reinforcement Learning for Object Transportation,cp,Conference Paper,Parnichkun M.,60010105,Asian Institute of Technology Thailand,Amphoe Khlong Luang,Thailand,1,"Parnichkun, Manukid",6602823801,60010105,2022-12-17,17 December 2022,ACM International Conference Proceeding Series,,21101150681,,Conference Proceeding,,,,229-234,"This paper proposes reinforcement learning methods to perform an object transportation task for multiple robots. This task consists of two main subtasks, path planning and motion control task. Double deep Q-learning (DDQN) model is selected to achieve path planning for an unknown environment. To increase the capability of reinforcement learning model, semi-supervised method by A∗algorithm is applied during the training process. In motion control task, reinforcement learning model is designed to control a movement of a differential wheeled mobile robot. The actions of mobile robot consisting of linear and angular velocities are computed by agent. The models for motion control task are separately trained for two different purposes. The first agent is trained to deal with the path following task and the other agent is trained to handle the point following task. The agent of the point following task is utilized to control the group of robots to move with a specific formation. Proximal policy optimization (PPO) is selected for the path following task and deep deterministic policy gradient (DDPG) is selected for the point following task. Eventually, the integration of the proposed reinforcement learning models can accomplish the object transportation task for multiple robots successfully both in simulation and experiment.",Deep reinforcement learning | Multiple robots cooperation | Object transportation,0,0,,,,undefined,
3,2-s2.0-85159703083,10.1145/3582580.3582628,,,Teaching Case Design of Robot Project-Based Programming Based on STEM Concept,cp,Conference Paper,Pan W.S.,60020224,Wenzhou University,Wenzhou,China,6,"Pan, Wang Shu;Wei, Li;Rou, Zhang Pei;Yi, Huang Ji;Ye, Liu Cheng;Yuan, Lei Lu",58261609300;58260871500;58261362700;58261609400;58261861100;58260617900,60020224;60020224;60020224;60020224;60020224;60020224,2022-12-16,16 December 2022,ACM International Conference Proceeding Series,,21101152575,,Conference Proceeding,,,,276-280,"In recent years, with the continuous implementation of the national basic education new curriculum reform, China's primary and secondary school robot programming education has developed rapidly, its educational value has gradually been recognized by the society, this paper from the background of the emergence of robot education and its important value, Analyzes the current robot education of primary and secondary schools in our country there are light weight light, heavy technology integration, single teaching content, lack of interdisciplinary, close contact with students in daily life's problem, and guided by the concept of STEM, 4 c core ability and quality oriented scientifically design the Arduino robot project programming teaching case, The value of this study lies in exploring the practical approach of coupling STEM concepts with robot programming teaching, and providing a reference example for front-line teachers in primary and secondary schools to carry out robot project-based programming teaching.",Core literacy | Project teaching | Robot programming teaching | STEM concept,0,0,,,,undefined,
4,2-s2.0-85158037122,10.1145/3584376.3584391,,,Path planning for teams of mobile robots,cp,Conference Paper,Xiao Y.,60015543,University of Pittsburgh,Pittsburgh,United States,1,"Xiao, Yilin",58236347700,60015543,2022-12-16,16 December 2022,ACM International Conference Proceeding Series,,21101150420,,Conference Proceeding,,,,75-79,"Multi-robot path planning is required in more and more scenarios. Since it can be quite expensive using existing methods, more efficient methods can save a great amount of money and energy. Therefore, in this paper, three algorithms are analyzed, the subdimensional expansion, reinforcement learning, and improved gravitational search algorithm. The three algorithms all take the centralized approach and are all topology-based. They attempt to find the optimal path for a multi-robot system without collision with obstacles. By examining their approaches and results of simulations, their efficiency in performance can be validated. They are all proven to perform more efficiently in solving path planning problems for multi-robot systems in a static environment than existing algorithms. Thus, the centralized approach is promising in solving more complex multi-robot path planning problems. However, their efficiency is only proven in a static environment. More research needs to be done for these algorithms to be applied in a dynamic or even in a real-world environment.",Gravitational search algorithm | Motion and path planning | Multi-robot path planning | Reinforcement learning,0,0,,,,undefined,
5,2-s2.0-85158012493,10.1145/3584376.3584392,,,Pass Strategy of Robocup Robot System Based on Deep Learning Network,cp,Conference Paper,Zhang Z.,60025084,Shanghai Jiao Tong University,Shanghai,China,1,"Zhang, Zihao",57572792300,60025084,2022-12-16,16 December 2022,ACM International Conference Proceeding Series,,21101150420,,Conference Proceeding,,,,80-86,"In recent years, the research of Multi-Agent Systems (MAS) has become a hot spot in complex systems research. It is widely used in multi-manipulator cooperative equipment, parallel computing, and network resource allocation. The planning of a multi-agent system is more and more critical. This paper takes RoboCup, a classic MAS, as an example. First, it is modeled mathematically through the Markov decision-making process, and a new ball-passing strategy solution based on a deep neural network is proposed. In addition, this paper also tries to use the traditional single-layer neural network to solve the same problem and compares the accuracy difference and model performance of the two types of neural networks. Finally, the possibility of applying a deep learning network in MAS is analyzed. The results show that the deep neural network has high effectiveness in solving the problem of the passing strategy of RoboCup. The ball control rate in the simulation environment is far more than the traditional algorithm, and the model trained by the deep learning network is significantly higher than the traditional neural network in accuracy, efficiency, and other aspects. Applying deep learning networks in other MAS is also likely to have a good effect. In the future, deep learning networks will be an essential planning algorithm.",Deep learning network | Markov decision process | Multi-agent planning | Robocup,0,0,,,,undefined,
6,2-s2.0-85135885085,10.1016/j.eswa.2022.118291,S0957417422014270,,User-guided motion planning with reinforcement learning for human-robot collaboration in smart manufacturing,re,Review,Yu T.,60021918,University of Virginia,Charlottesville,United States,2,"Yu, Tian;Chang, Qing",57212868927;57217724791,60021918;60021918,2022-12-15,15 December 2022,Expert Systems with Applications,09574174,24201,,Journal,209,,118291,,"In today's manufacturing system, robots are expected to perform increasingly complex manipulation tasks in collaboration with humans. However, current industrial robots are still largely preprogrammed with very little autonomy and still required to be reprogramed by robotics experts for even slightly changed tasks. Therefore, it is highly desirable that robots can adapt to certain task changes with motion planning strategies to easily work with non-robotic experts in manufacturing environments. In this paper, we propose a user-guided motion planning algorithm in combination with reinforcement learning (RL) method to enable robots automatically generate their motion plans for new tasks by learning from a few kinesthetic human demonstrations. Features of common human demonstrated tasks in a specific application environment, e.g., desk assembly or warehouse loading/unloading are abstracted and saved in a library. The definition of semantical similarity between features in the library and features of a new task is proposed and further used to construct the reward function in RL. To achieve an adaptive motion plan facing task changes or new task requirements, features embedded in the library are mapped to appropriate task segments based on the trained motion planning policy using Q-learning. A new task can be either learned as a combination of a few features in the library or a requirement for further human demonstration if the current library is insufficient for the new task. We evaluate our approach on a 6 DOF UR5e robot on multiple tasks and scenarios and show the effectiveness of our method with respect to different scenarios.",Human-robot collaboration | Learning from demonstration | Motion planning | Reinforcement learning,2,1,publisherfree2read,Bronze,NSF,CMMI1853454,National Science Foundation
7,2-s2.0-85144825485,10.3389/fncom.2022.1039822,,,Adapting hippocampus multi-scale place field distributions in cluttered environments optimizes spatial navigation and learning,ar,Article,Scleidorovich P.,60010065;60007740,"The University of Arizona;University of South Florida, Tampa",Tucson;Tampa,United States;United States,3,"Scleidorovich, Pablo;Fellous, Jean Marc;Weitzenfeld, Alfredo",57211276928;7003806123;15836291700,60007740;60010065;60007740,2022-12-12,12 December 2022,Frontiers in Computational Neuroscience,,19700175168,16625188,Journal,16,,1039822,,"Extensive studies in rodents show that place cells in the hippocampus have firing patterns that are highly correlated with the animal's location in the environment and are organized in layers of increasing field sizes or scales along its dorsoventral axis. In this study, we use a spatial cognition model to show that different field sizes could be exploited to adapt the place cell representation to different environments according to their size and complexity. Specifically, we provide an in-depth analysis of how to distribute place cell fields according to the obstacles in cluttered environments to optimize learning time and path optimality during goal-oriented spatial navigation tasks. The analysis uses a reinforcement learning (RL) model that assumes that place cells allow encoding the state. While previous studies have suggested exploiting different field sizes to represent areas requiring different spatial resolutions, our work analyzes specific distributions that adapt the representation to the environment, activating larger fields in open areas and smaller fields near goals and subgoals (e.g., obstacle corners). In addition to assessing how the multi-scale representation may be exploited in spatial navigation tasks, our analysis and results suggest place cell representations that can impact the robotics field by reducing the total number of cells for path planning without compromising the quality of the paths learned.",hippocampus | multi-scale | place cells | reinforcement learning | spatial cognition | spatial learning | spatial navigation,0,1,repositoryvor,Green,,1703225,
8,2-s2.0-85145650694,10.3233/ATDE221054,,,Research on Control System of Upper Limb Rehabilitation Training Based on Reinforcement Learning,cp,Conference Paper,Wu L.,60031419;60001895,Ningbo University;Ningbo University of Technology,Ningbo;Ningbo,China;China,5,"Wu, Liangda;Wang, Xingshang;Chen, Kewei;Feng, Yongfei;Dong, Fangyan",58028291900;57987977200;57198085899;55887982700;56577237700,60031419;60001895;60031419;60031419;60031419,2022-12-06,6 December 2022,Advances in Transdisciplinary Engineering,,21101129706,,Conference Proceeding,30,,,397-406,"Aiming at the problems existing in traditional upper limb rehabilitation training, such as low rehabilitation efficiency, single and passive training methods, etc. Deep reinforcement learning can provide a better trajectory planning scheme for the upper limb rehabilitation robot working in multi-dynamic environment. It can make more efficient and active rehabilitation training plan for rehabilitation patients. In the actual rehabilitation training, it is necessary to smooth the motion track without mutation and avoid the singular region. In this paper, DDPG deep learning reinforcement learning algorithm is used to propose an improved reward function to provide global guidance for exploring optimal trajectory planning. At the same time, the nonlinear function of the feedback regulation mechanism is constructed by dividing the working interval property to accelerate the exploration process and avoid the singular region. Experiments show that the convergence of the reward value of the improved model is significantly improved compared with the traditional model. The method proposed in this paper provides a good theoretical basis for the research of active rehabilitation control system of upper limb rehabilitation robot.",Active rehabilitation training | DDPG | Rehabilitation robot | Trajectory planning,0,1,publisherfullgold,Gold,ZJNSF,undefined,Natural Science Foundation of Zhejiang Province
9,2-s2.0-85160023902,10.1093/jcde/qwac109,,,A novel bio-inspired approach with multi-resolution mapping for the path planning of multi-robot system in complex environments,ar,Article,Yi X.,60015881;60000937,University of Guelph;Shenzhen University,Guelph;Shenzhen,Canada;China,4,"Yi, Xin;Zhu, Anmin;Li, Chaofan;Yang, Simon X.",57202211930;7102514589;57897840900;57281389600,60000937;60000937;60000937;60015881,2022-12-01,1 December 2022,Journal of Computational Design and Engineering,22884300,21100820602,22885048,Journal,9,6,,2343-2354,"For multi-robot systems (MRSs), conventional path planning with single resolution mapping is challenging to balance information and computation. Regarding path planning of MRS, the previous research lacked systematic definition, quantitative evaluation, and the consideration of complex environmental factors. In this paper, a new systematic formulation is proposed to redefine the multi-robot path planning problem in complex environments, and evaluate the related solutions of this problem. To solve this problem, a novel bio-inspired approach based on reaction-diffusion system is given to deal with the path planning of MRS in complex environments, such as electromagnetic interference, ocean currents, and so on. Furthermore, a multi-layer neural dynamic network is proposed to describe environments with multiple resolutions, which can improve time performance while ensuring the integrity of environmental information. Comparative experimental results indicate that the proposed approach shows the excellent path planning performance of MRS in complex environments. The stability of the proposed method is determined by the mathematical basis.",multi-robot system | neural dynamics | obstacle avoidance | path planning,1,1,publisherfullgold,Gold,,undefined,
