,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85148000425,10.1145/3561391,,,The Perception of Teachers on Usability and Accessibility of Programming Materials for Children with Visual Impairments,ar,Article,Van Der Meulen A.,,Universiteit Leiden,Leiden,Netherlands,,,,,2022-12-29,29 December 2022,ACM Transactions on Computing Education,,19700183047,19466226,Journal,23,1,14,,,,0,1,publisherfree2read,Bronze,,,
1,2-s2.0-85135885085,10.1016/j.eswa.2022.118291,S0957417422014270,,User-guided motion planning with reinforcement learning for human-robot collaboration in smart manufacturing,re,Review,Yu T.,,University of Virginia,Charlottesville,United States,,,,,2022-12-15,15 December 2022,Expert Systems with Applications,09574174,24201,,Journal,209,,118291,,,,0,0,,,,,
2,2-s2.0-85144825485,10.3389/fncom.2022.1039822,,,Adapting hippocampus multi-scale place field distributions in cluttered environments optimizes spatial navigation and learning,ar,Article,Scleidorovich P.,,"University of South Florida, Tampa",Tampa,United States,,,,,2022-12-12,12 December 2022,Frontiers in Computational Neuroscience,,19700175168,16625188,Journal,16,,1039822,,,,0,1,repositoryam,Green,,,
3,2-s2.0-85145650694,10.3233/ATDE221054,,,Research on Control System of Upper Limb Rehabilitation Training Based on Reinforcement Learning,cp,Conference Paper,Wu L.,,Ningbo University,Ningbo,China,,,,,2022-12-06,6 December 2022,Advances in Transdisciplinary Engineering,,21101129706,,Conference Proceeding,30,,,397-406,,,0,1,publisherfullgold,Gold,,,
4,2-s2.0-85144874518,10.3390/su142416514,,,Learning Performance of Different Genders’ Computational Thinking,ar,Article,Hsu T.C.,,National Taiwan Normal University,Taipei,Taiwan,,,,,2022-12-01,December 2022,Sustainability (Switzerland),,21100240100,20711050,Journal,14,24,16514,,,,0,1,publisherfullgold,Gold,,,
5,2-s2.0-85144557389,10.3390/s22249574,,36559941,Deep Deterministic Policy Gradient-Based Autonomous Driving for Mobile Robots in Sparse Reward Environments,ar,Article,Park M.,,Yeungnam University,Gyeongsan,South Korea,,,,,2022-12-01,December 2022,Sensors,14248220,130124,,Journal,22,24,9574,,,,0,1,repositoryam,Green,,,
6,2-s2.0-85143770192,10.3390/su142315951,,,Employing Robotics in Education to Enhance Cognitive Development—A Pilot Study,ar,Article,Kálózi-Szabó C.,,Eötvös Loránd Tudományegyetem,Budapest,Hungary,,,,,2022-12-01,December 2022,Sustainability (Switzerland),,21100240100,20711050,Journal,14,23,15951,,,,0,1,publisherfullgold,Gold,,,
7,2-s2.0-85143486198,10.3390/s22239107,,36501809,A Sign Language Recognition System Applied to Deaf-Mute Medical Consultation,ar,Article,Xia K.,,University of Shanghai for Science and Technology,Shanghai,China,,,,,2022-12-01,December 2022,Sensors,14248220,130124,,Journal,22,23,9107,,,,1,1,repositoryam,Green,,,
8,2-s2.0-85143291722,10.1007/s10836-022-06037-4,,,Development of a Simplified Programming Kit Based 16LF18856 for Embedded Systems Testing and Education in Developing Countries,ar,Article,Nguimfack-Ndongmo J.d.D.,,University of Bamenda;Université de Dschang,Bamenda;Bandjoun,Cameroon;Cameroon,,,,,2022-12-01,December 2022,Journal of Electronic Testing: Theory and Applications (JETTA),09238174,18040,15730727,Journal,38,6,,589-602,,,0,0,,,,,
9,2-s2.0-85141780201,10.1016/j.mechatronics.2022.102918,S0957415822001362,,Robot path planner based on deep reinforcement learning and the seeker optimization algorithm,ar,Article,Xing X.,,Yunnan University,Kunming,China,,,,,2022-12-01,December 2022,Mechatronics,09574158,21096,,Journal,88,,102918,,,,0,0,,,,,
