,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85166654759,10.1016/j.eswa.2023.121037,S0957417423015397,,Knowledge-guided robot learning on compliance control for robotic assembly task with predictive model,ar,Article,Liu Q.,60022414,Wuhan University of Technology,Wuhan,China,6,"Liu, Quan;Ji, Zhenrui;Xu, Wenjun;Liu, Zhihao;Yao, Bitao;Zhou, Zude",55577742400;57214917794;57221159460;57202399533;56405052900;58407029600,60022414;60022414;60022414;60022414;60022414;60022414,2023-12-30,30 December 2023,Expert Systems with Applications,09574174,24201,,Journal,234,,121037,,"Nowadays industrial robots have become the key equipment in the context of smart manufacturing and the assembly process is seen as one of the dominant fields of robotic applications. However, robotic assembly still greatly relies on manual programming and performs in a highly controlled and structured environment in a repetitive manner with weak generalization. Recent successes in robot learning show that endowing robot intelligence to obtain skills autonomously is a promising approach. The existing robot learning methods are difficult to apply due to the requirement of sufficient trial-and-error exploration which is hardware-cost and time-consuming. When encountering an unfamiliar task, it is natural for human to use their prior knowledge as guidance to derive the explorative action and then leaning the related skills from the accumulated experience. Inspired by that, this paper proposes a knowledge-guided robot learning method with predictive model to improve the safety and efficiency of assembly skills acquisition. Concretely, based on Cartesian compliance control, a knowledge-guided exploration strategy (KGES) using the fuzzy logic about position/force feedback is built to provide direction and limit the range of exploration in the early learning stages. Upon KGES, a predictive model-based reinforcement learning method is proposed to optimize the local searching trajectory, where the training data, generated from the trained ensemble predictive models with a knowledge-guided branched progressive rollout method, is used for policy optimization. Finally, the proposed method is tested in two peg-in-hole assembly tasks in MuJoCo environment, and the results show that the robot can learn the assembly skill faster and perform better in success rate than model-free and knowledge-free settings while maintaining the contact force within a safe range.",Compliance control | Knowledge-guided robot learning | Model-based reinforcement learning | Robotic assembly | Smart manufacturing,0,0,,,NSFC,JCKY2020206B015,National Natural Science Foundation of China
1,2-s2.0-85170631205,10.1186/s12859-023-05466-y,,37697267,"Rinmaker: a fast, versatile and reliable tool to determine residue interaction networks in proteins",ar,Article,Spanò A.,60083127;60013494,European Centre for Living Technology;Università Ca' Foscari Venezia,Venice;Venice,Italy;Italy,9,"Spanò, Alvise;Fanton, Lorenzo;Pizzolato, Davide;Moi, Jacopo;Vinci, Francesco;Pesce, Alberto;Dongmo Foumthuim, Cedrix J.;Giacometti, Achille;Simeoni, Marta",49964647600;58572185100;58572185200;58572139700;58572160400;58572127000;57060541100;7004292335;56162372000,60013494;60013494;60013494;60013494;60013494;60013494;60013494;60013494-60083127;60013494-60083127,2023-12-01,December 2023,BMC Bioinformatics,,17929,14712105,Journal,24,1,336,,"Background: Residue Interaction Networks (RINs) map the crystallographic description of a protein into a graph, where amino acids are represented as nodes and non-covalent bonds as edges. Determination and visualization of a protein as a RIN provides insights on the topological properties (and hence their related biological functions) of large proteins without dealing with the full complexity of the three-dimensional description, and hence it represents an invaluable tool of modern bioinformatics. Results: We present RINmaker, a fast, flexible, and powerful tool for determining and visualizing RINs that include all standard non-covalent interactions. RINmaker is offered as a cross-platform and open source software that can be used either as a command-line tool or through a web application or a web API service. We benchmark its efficiency against the main alternatives and provide explicit tests to show its performance and its correctness. Conclusions: RINmaker is designed to be fully customizable, from a simple and handy support for experimental research to a sophisticated computational tool that can be embedded into a large computational pipeline. Hence, it paves the way to bridge the gap between data-driven/machine learning approaches and numerical simulations of simple, physically motivated, models.",Non-covalent bonds | Protein 3D structure | Residue interaction network (RIN),0,1,publisherfullgold,Gold,UNIVE,undefined,Università Ca' Foscari Venezia
2,2-s2.0-85167819649,10.1016/j.infsof.2023.107308,S0950584923001635,,Auto-COP: Adaptation generation in Context-oriented Programming using Reinforcement Learning options,ar,Article,Cardozo N.,60052106;60011149,"Universidad de Los Andes, Colombia;Trinity College Dublin",Bogota;Dublin,Colombia;Ireland,2,"Cardozo, Nicolás;Dusparic, Ivana",37040461800;11641263400,60052106;60011149,2023-12-01,December 2023,Information and Software Technology,09505849,18732,,Journal,164,,107308,,"Context: Self-adaptive software systems continuously adapt in response to internal and external changes in their execution environment, captured as contexts. The Context-oriented Programming (COP) paradigm posits a technique for the development of self-adaptive systems, capturing their main characteristics with specialized programming language constructs. In COP, adaptations are specified as independent modules that are composed in and out of the base system as contexts are activated and deactivated in response to sensed circumstances from the surrounding environment. However, the definition of adaptations, their contexts and associated specialized behavior, need to be specified at design time. In complex cyber–physical systems this is intractable, if not impossible, due to new unpredicted operating conditions arising. Objective: In this paper, we propose Auto-COP, a new technique to enable generation of adaptations at run time. Auto-COP uses Reinforcement Learning (RL) options to build action sequences, based on the previous instances of the system execution (for example, atomic system actions enacted by human operators). Options are further explored in interaction with the environment, and the most suitable options for each context are used to generate the adaptations, exploiting COP abstractions. Method: To validate Auto-COP, we present two case studies exhibiting different system characteristics and application domains: a driving assistant and a robot delivery system. We present examples of Auto-COP to illustrate the types of circumstances (contexts) requiring adaptation at run time, and the corresponding generated adaptations for each context. Results: We confirm that the generated adaptations exhibit correct system behavior measured by domain-specific performance metrics (e.g., conformance to specified speed limit), while reducing the number of required execution/actuation steps by a factor of two showing that the adaptations are regularly selected by the running system as adaptive behavior is more appropriate than the execution of atomic actions. Conclusion: Therefore, we demonstrate that Auto-COP is able to increase system adaptivity by enabling run-time generation of new adaptations for conditions detected at run time, while retaining the modularity offered by COP languages, and reducing the upfront specification required by system developers.",Context-oriented programming | Macro actions | Option learning | Reinforcement learning | Self-adaptive systems,0,1,repositoryam,Green,,undefined,
3,2-s2.0-85164426164,10.1186/s12911-023-02210-7,,37434236,How can social robot use cases in healthcare be pushed - with an interoperable programming interface,ar,Article,Glauser R.,60099391,Berner Fachhochschule,Bern,Switzerland,4,"Glauser, Robin;Holm, Jürgen;Bender, Matthias;Bürkle, Thomas",57208209898;57023174100;57217245034;55923777000,60099391;60099391;60099391;60099391,2023-12-01,December 2023,BMC Medical Informatics and Decision Making,,23602,14726947,Journal,23,1,118,,"Introduction: Research into current robot middleware has revealed that most of them are either too complicated or outdated. These facts have motivated the development of a new middleware to meet the requirements of usability by non-experts. The proposed middleware is based on Android and is intended to be placed over existing robot SDKs and middleware. It runs on the android tablet of the Cruzr robot. Various toolings have been developed, such as a web component to control the robot via a webinterface, which facilitates its use. Methods: The middleware was developed using Android Java and runs on the Cruzr tablet as an app. It features a WebSocket server that interfaces with the robot and allows control via Python or other WebSocket-compatible languages. The speech interface utilizes Google Cloud Voice text-to-speech and speech-to-text services. The interface was implemented in Python, allowing for easy integration with existing robotics development workflows, and a web interface was developed for direct control of the robot via the web. Results: The new robot middleware was created and deployed on a Cruzr robot, relying on the WebSocket API and featuring a Python implementation. It supports various robot functions, such as text-to-speech, speech-to-text, navigation, displaying content and scanning bar codes. The system’s architecture allows for porting the interface to other robots and platforms, showcasing its adaptability. It has been demonstrated that the middleware can be run on a Pepper robot, although not all functions have been implemented yet. The middleware was utilized to implement healthcare use cases and received good feedback. Conclusion: Cloud and local speech services were discussed in regard to the middleware’s needs, to run without having to change any code on other robots. An outlook on how the programming interface can further be simplified by using natural text to code generators has been/is given. For other researchers using the aforementioned platforms (Cruzr, Pepper), the new middleware can be utilized for testing human-robot interaction. It can be used in a teaching setting, as well as be adapted to other robots using the same interface and philosophy regarding simple methods.",Android | Cruzr | Healthcare | Interface | Java | Middleware | Pepper | Python | Robotics | ROS | Softbanks | Students | Teaching | Ubtech | Websocket,0,1,repositoryvor,Green,,undefined,
4,2-s2.0-85152434566,10.1016/j.commtr.2023.100096,S2772424723000070,,GOPS: A general optimal control problem solver for autonomous driving and industrial control applications,ar,Article,Wang W.,60025278,Tsinghua University,Beijing,China,13,"Wang, Wenxuan;Zhang, Yuhang;Gao, Jiaxin;Jiang, Yuxuan;Yang, Yujie;Zheng, Zhilong;Zou, Wenjun;Li, Jie;Zhang, Congsheng;Cao, Wenhan;Xie, Genjin;Duan, Jingliang;Li, Shengbo Eben",57191252259;57222277736;57220048044;58087812800;57221127414;58181669400;57952803300;57214208507;57243725800;57215349165;57244538400;57195486647;15065803700,60025278;60025278;60025278;60025278;60025278;60025278;60025278;60025278;60025278;60025278;60025278;60025278;60025278,2023-12-01,December 2023,Communications in Transportation Research,,21101092899,27724247,Journal,3,,100096,,"Solving optimal control problems serves as the basic demand of industrial control tasks. Existing methods like model predictive control often suffer from heavy online computational burdens. Reinforcement learning has shown promise in computer and board games but has yet to be widely adopted in industrial applications due to a lack of accessible, high-accuracy solvers. Current Reinforcement learning (RL) solvers are often developed for academic research and require a significant amount of theoretical knowledge and programming skills. Besides, many of them only support Python-based environments and limit to model-free algorithms. To address this gap, this paper develops General Optimal control Problems Solver (GOPS), an easy-to-use RL solver package that aims to build real-time and high-performance controllers in industrial fields. GOPS is built with a highly modular structure that retains a flexible framework for secondary development. Considering the diversity of industrial control tasks, GOPS also includes a conversion tool that allows for the use of Matlab/Simulink to support environment construction, controller design, and performance validation. To handle large-scale problems, GOPS can automatically create various serial and parallel trainers by flexibly combining embedded buffers and samplers. It offers a variety of common approximate functions for policy and value functions, including polynomial, multilayer perceptron, convolutional neural network, etc. Additionally, constrained and robust algorithms for special industrial control systems with state constraints and model uncertainties are also integrated into GOPS. Several examples, including linear quadratic control, inverted double pendulum, vehicle tracking, humanoid robot, obstacle avoidance, and active suspension control, are tested to verify the performances of GOPS.",Approximate dynamic programming | Benchmark | Industrial control | Neural network | Optimal control | Reinforcement learning,1,1,,,NSF,U20A20334,National Science Foundation
5,2-s2.0-85148207463,10.1186/s40594-023-00400-3,,,Trends and research foci of robotics-based STEM education: a systematic review from diverse angles based on the technology-based learning model,re,Review,Darmawansah D.,60027709;60021584;60013395,"National Taiwan University of Science and Technology;Soochow University, Taipei;Yuan Ze University",Taipei;Taipei;Taoyuan,Taiwan;Taiwan;Taiwan,4,"Darmawansah, Darmawansah;Hwang, Gwo Jen;Chen, Mei Rong Alice;Liang, Jia Cing",57226462653;7202677655;57203980835;57226484598,60027709;60027709-60013395;60021584;60027709,2023-12-01,December 2023,International Journal of STEM Education,,21100873488,21967822,Journal,10,1,12,,"Fostering students’ competence in applying interdisciplinary knowledge to solve problems has been recognized as an important and challenging issue globally. This is why STEM (Science, Technology, Engineering, Mathematics) education has been emphasized at all levels in schools. Meanwhile, the use of robotics has played an important role in STEM learning design. The purpose of this study was to fill a gap in the current review of research on Robotics-based STEM (R-STEM) education by systematically reviewing existing research in this area. This systematic review examined the role of robotics and research trends in STEM education. A total of 39 articles published between 2012 and 2021 were analyzed. The review indicated that R-STEM education studies were mostly conducted in the United States and mainly in K-12 schools. Learner and teacher perceptions were the most popular research focus in these studies which applied robots. LEGO was the most used tool to accomplish the learning objectives. In terms of application, Technology (programming) was the predominant robotics-based STEM discipline in the R-STEM studies. Moreover, project-based learning (PBL) was the most frequently employed learning strategy in robotics-related STEM research. In addition, STEM learning and transferable skills were the most popular educational goals when applying robotics. Based on the findings, several implications and recommendations to researchers and practitioners are proposed.",Interdisciplinary projects | Literature review | Robots | STEM education | Twenty-first century skills,4,1,publisherfullgold,Gold,NSTC,NSTC 111-2410-H-031-092-MY2,National Science and Technology Council
6,2-s2.0-85162084798,10.1016/j.eswa.2023.120737,S0957417423012393,,Energy aware semi-automatic assembly line balancing problem considering ergonomic risk and uncertain processing time,ar,Article,Rahman H.F.,60160756;60033125;60010618,Cardiff School of Management;University of Leicester;Vellore Institute of Technology,Cardiff;Leicester;Vellore,United Kingdom;United Kingdom;India,3,"Rahman, Humyun Fuad;Janardhanan, Mukund Nilakantan;Ponnambalam, S. G.",55822673700;57221280855;7005929538,60160756;60033125;60010618,2023-11-30,30 November 2023,Expert Systems with Applications,09574174,24201,,Journal,231,,120737,,"The semiautomated assembly line balancing problem (SAALBP) is a complex planning problem in which the production process comprises human workers, robots, and human-robot collaboration. With increasing awareness of sustainable practices in the manufacturing environment, this study addresses a sustainable SSALBP, where a mixed integer linear programming (MILP) model is formulated for the first time for this type of assembly systems. The model consists of three objectives and each of the objectives represents the three pillars of sustainability. The problem becomes more realistic by considering uncertainty in processing time and the influence of human workers’ age and skill in processing time. The uncertainty is adopted in the MILP model by using a chance-constraint programing approach. Since the problem is complex, Q-learning and Monte-Carlo simulation-assisted based genetic algorithm (GA) based memetic algorithm (MA) are proposed to solve the problem. The performance of MA is evaluated against the well-known non-dominated sorting GA-III (NSGA-III) and state-of-the-art algorithms for solving the problem. The experimental results show that MA surpasses its contest significantly in finding better Pareto-fronts.",Chance constraint programming | Cycle time | Energy | Ergonomic risks | Memetic algorithm | Semi-automated assembly line,1,0,,,,undefined,
7,2-s2.0-85161641352,10.1016/j.eswa.2023.120630,S0957417423011326,,Hierarchical path planner for unknown space exploration using reinforcement learning-based intelligent frontier selection,ar,Article,Fan J.,60016835,Beijing Institute of Technology,Beijing,China,3,"Fan, Jie;Zhang, Xudong;Zou, Yuan",57467526200;53867618800;57212182693,60016835;60016835;60016835,2023-11-15,15 November 2023,Expert Systems with Applications,09574174,24201,,Journal,230,,120630,,"Path planning in unknown environments is extremely useful for some specific tasks, such as exploration of outer space planets, search and rescue in disaster areas, home sweeping services, etc. However, existing frontier-based path planners suffer from insufficient exploration, while reinforcement learning (RL)-based ones are confronted with problems in efficient training and effective searching. To overcome the above problems, this paper proposes a novel hierarchical path planner for unknown space exploration using RL-based intelligent frontier selection. Firstly, by decomposing the path planner into three-layered architecture (including the perception layer, planning layer, and control layer) and using edge detection to find potential frontiers to track, the path search space is shrunk from the whole map to a handful of points of interest, which significantly saves the computational resources in both training and execution processes. Secondly, one of the advanced RL algorithms, trust region policy optimization (TRPO), is used as a judge to select the best frontier for the robot to track, which ensures the optimality of the path planner with a shorter path length. The proposed method is validated through simulation and compared with both classic and state-of-the-art methods. Results show that the training process could be greatly accelerated compared with the traditional deep-Q network (DQN). Moreover, the proposed method has 4.2%–14.3% improvement in exploration region rate and achieves the highest exploration completeness.",Edge detection | Path planning | Trust region policy optimization | Unknown space exploration,0,0,,,CAST,3212013,Natural Science Foundation of Beijing Municipality
8,2-s2.0-85170286625,10.1016/j.comnet.2023.109982,S1389128623004279,,Res-TranBiLSTM: An intelligent approach for intrusion detection in the Internet of Things,ar,Article,Wang S.,60010953;60001081,Donghua University;China Telecommunications,Shanghai;Beijing,China;China,3,"Wang, Shiyu;Xu, Wenxiang;Liu, Yiwen",58336407700;58115011500;57886380000,60001081;60001081;60010953,2023-11-01,November 2023,Computer Networks,13891286,26811,,Journal,235,,109982,,"The Internet of Things (IoT), as the information carrier of the Internet and telecommunications networks, is a new network technology comprising physical entities embedded with electronic components, software and sensors, and characterized by strong complexity and openness. With the massive amount of data, the occurrence of network intrusion is also increasingly frequent, involving industrial control systems, IoT devices, mobile security, cloud services, and telecommunications services. With the diversification and intelligence of cyberattack behaviors, traditional intrusion detection systems (IDSs) face problems—such as insufficient feature extraction and inaccurate model classification—when faced with high-dimensional features and nonlinear massive data. Due to their powerful data representation learning ability, deep learning methods save substantial time in processing high-dimensional and complex intrusion data. On this basis, we propose an intrusion detection model using ResNet, Transformer and BiLSTM (Res-TranBiLSTM) that takes into account both the spatial and temporal features of network traffic. We use the Synthetic Minor Overriding Technique (SMOTE) – Edited Nearest Neighbor (ENN) method to alleviate the degree of data imbalance. In addition, we respectively establish a spatial feature extraction model based on ResNet and a temporal feature extraction model based on Transformer and BiLSTM to extract spatial features and temporal features parallelly. Finally, spatiotemporal features are included to achieve attack detection and classification. Further, simulation experiments are conducted using the public data sets NSL-KDD and CIC-IDS2017. The experiments are implemented using Python programming language and Pytorch framework. The results reveal that the performance of our proposed model is better than that of other models, with accuracy reaching 90.99%, 99.15% and 99.56%, on NSL-KDD dataset, CIC-IDS2017 dataset and MQTTset dataset, respectively. It increased the detection accuracy by about 1%-10% on NSL-KDD dataset and about 0.2%-10% on CIC-IDS2017 dataset, and about 1%-10% on MQTTset dataset. These results demonstrate that this method is effective in constructing and optimizing large-scale IDS in the IoT environment.",BiLSTM | Cyberattacks | Cybersecurity | Feature fusion | Intrusion detection systems | IoT networks | Transformer,0,1,,,,undefined,
9,2-s2.0-85152426627,10.1016/j.engappai.2023.106838,S0952197623010229,,"Neuromorphic electronics for robotic perception, navigation and control: A survey",sh,Short Survey,Yang Y.,60009254;106275589,Purdue University;Instituto Italiano di Tecnologia,West Lafayette;Genoa,United States;Italy,4,"Yang, Yi;Bartolozzi, Chiara;Zhang, Haiyan H.;Nawrocki, Robert A.",57219436578;22940171400;57192215825;35956898500,60009254;106275589;60009254;60009254,2023-11-01,November 2023,Engineering Applications of Artificial Intelligence,09521976,24182,,Journal,126,,106838,,"Neuromorphic electronics have great potential in the emulation of the sensory, cognitive, self-learning, and actuating functions of robots. While typically implemented in rigid silicon, emerging technologies in organic and flexible electronic materials have also led to tremendous advances in the development of neuromorphic perception systems. However, a comprehensive review of the contribution/role of organic neuromorphic electronics for robotic applications is still missing. This review presents advancements in silicon-based and organic neuromorphic electronics for intelligent robot development, focusing on perception, navigation, and learning-based control. Organic synaptic devices, along with dynamic vision sensors, enable diverse forms of sensory-enabled computational perception, offering tunability, stability, low power consumption, and conformal substrates. Integration of simultaneous localization and mapping techniques and path planning algorithms empowers robots to efficiently navigate, build accurate maps, and make informed decisions. Different learning algorithms and their hardware implementations in neuromorphic robotic control are explored, enabling robots to learn and adapt to dynamic environments. The review highlights the potential of neuromorphic electronics for sensing, thinking, and acting in advanced robotic systems. Organic, inorganic, and hybrid materials are discussed for implementing perception, navigation, and control in robots. Future research directions in the field are outlined. Leveraging various neuromorphic electronics unlocks the full potential of intelligent robotic systems for diverse applications.",Control | Navigation | Neuromorphic electronics | Neuromorphic robot | Organic and flexible electronic materials | Path planning | Perception | SLAM,0,0,,,ONR,N00014-21-1-2585,Office of Naval Research
