,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85061386092,10.1109/DASIP.2018.8596860,,,Accelerating the Inference Phase in Ternary Convolutional Neural Networks Using Configurable Processors,cp,Conference Paper,Chidambaram S.,,Polytechnique Montréal,Montreal,Canada,,,,,2018-12-31,31 December 2018,"Conference on Design and Architectures for Signal and Image Processing, DASIP",21649766,21100198506,,Conference Proceeding,2018-October,,8596860,94-99,,,2,0,,,,,
1,2-s2.0-85061477804,10.1109/CONCAPAN.2018.8596497,,,A graphic environment for user interfaces in embedded devices,cp,Conference Paper,Arce-Orozco A.,,Instituto Tecnológico de Costa Rica;Universidad Nacional,Cartago;Heredia,Costa Rica;Costa Rica,,,,,2018-12-28,28 December 2018,"Proceedings of the 2018 IEEE 38th Central America and Panama Convention, CONCAPAN 2018",,21100898283,,Conference Proceeding,,,8596497,,,,2,0,,,,,
2,2-s2.0-85063007497,10.1109/IROS.2018.8593559,,,VTSL - A Formally Verifiable DSL for Specifying Robot Tasks,cp,Conference Paper,Heinzcmann C.,,Robert Bosch GmbH,Gerlingen,Germany,,,,,2018-12-27,27 December 2018,IEEE International Conference on Intelligent Robots and Systems,21530858,66854,21530866,Conference Proceeding,,,8593559,8308-8314,,,4,0,,,,,
3,2-s2.0-85062999503,,,,IEEE International Conference on Intelligent Robots and Systems,cr,Conference Review,,,,,,,,,,2018-12-27,27 December 2018,IEEE International Conference on Intelligent Robots and Systems,21530858,66854,21530866,Conference Proceeding,,,,,,,0,0,,,,,
4,2-s2.0-85062998830,10.1109/IROS.2018.8594220,,,An Uncertainty-Aware Minimal Intervention Control Strategy Learned from Demonstrations,cp,Conference Paper,Silvério J.,,Istituto Italiano di Tecnologia,Genoa,Italy,,,,,2018-12-27,27 December 2018,IEEE International Conference on Intelligent Robots and Systems,21530858,66854,21530866,Conference Proceeding,,,8594220,6065-6071,,,4,0,repositoryam,Green,,,
5,2-s2.0-85062974902,10.1109/IROS.2018.8593989,,,Dynamic Model Learning and Manipulation Planning for Objects in Hospitals Using a Patient Assistant Mobile (PAM)Robot,cp,Conference Paper,Novin R.,,The University of Utah,Salt Lake City,United States,,,,,2018-12-27,27 December 2018,IEEE International Conference on Intelligent Robots and Systems,21530858,66854,21530866,Conference Proceeding,,,8593989,7172-7178,,,6,0,,,,,
6,2-s2.0-85062972432,10.1109/IROS.2018.8593943,,,PiDrone: An Autonomous Educational Drone Using Raspberry Pi and Python,cp,Conference Paper,Brand I.,,Brown University,Providence,United States,,,,,2018-12-27,27 December 2018,IEEE International Conference on Intelligent Robots and Systems,21530858,66854,21530866,Conference Proceeding,,,8593943,5697-5703,,,15,0,,,,,
7,2-s2.0-85062968132,10.1109/IROS.2018.8593647,,,Passivity Based Iterative Learning of Admittance-Coupled Dynamic Movement Primitives for Interaction with Changing Environments,cp,Conference Paper,Kramberger A.,,Jozef Stefan Institute,Ljubljana,Slovenia,,,,,2018-12-27,27 December 2018,IEEE International Conference on Intelligent Robots and Systems,21530858,66854,21530866,Conference Proceeding,,,8593647,6023-6028,,,17,0,,,,,
8,2-s2.0-85062960960,10.1109/IROS.2018.8594481,,,An Everyday Robotic System that Maintains Local Rules Using Semantic Map Based on Long-Term Episodic Memory,cp,Conference Paper,Furuta Y.,,The University of Tokyo,Tokyo,Japan,,,,,2018-12-27,27 December 2018,IEEE International Conference on Intelligent Robots and Systems,21530858,66854,21530866,Conference Proceeding,,,8594481,7641-7647,,,3,0,,,,,
9,2-s2.0-85062940566,10.1109/IROS.2018.8593374,,,Cost of Transport Estimation for Legged Robot Based on Terrain Features Inference from Aerial Scan,cp,Conference Paper,Pragr M.,,Czech Technical University in Prague,Prague,Czech Republic,,,,,2018-12-27,27 December 2018,IEEE International Conference on Intelligent Robots and Systems,21530858,66854,21530866,Conference Proceeding,,,8593374,1745-1750,,,19,0,,,,,
10,2-s2.0-85058066479,10.1145/3278721.3278772,,,Socially-Aware Navigation Using Topological Maps and Social Norm Learning,cp,Conference Paper,Johnson C.,,"University of Michigan, Ann Arbor",Ann Arbor,United States,,,,,2018-12-27,27 December 2018,"AIES 2018 - Proceedings of the 2018 AAAI/ACM Conference on AI, Ethics, and Society",,21100897124,,Conference Proceeding,,,,151-157,,,13,1,publisherfree2read,Bronze,,,
11,2-s2.0-85061558959,10.1109/IECON.2018.8591573,,,Kinematic and dynamic analysis and design toolbox of high-DOF hybrid multibody systems,cp,Conference Paper,Ozakyol H.,,Kocaeli Üniversitesi,Kocaeli,Turkey,,,,,2018-12-26,26 December 2018,Proceedings: IECON 2018 - 44th Annual Conference of the IEEE Industrial Electronics Society,,21100898500,,Conference Proceeding,,,8591573,2558-2563,,,1,0,,,,,
12,2-s2.0-85061310902,10.1109/LARS/SBR/WRE.2018.00104,,,An open source framework for educational applications using cozmo mobile robot,cp,Conference Paper,Kusumota V.,,Universidade Federal de São Carlos,Sao Carlos,Brazil,,,,,2018-12-24,24 December 2018,"Proceedings - 15th Latin American Robotics Symposium, 6th Brazilian Robotics Symposium and 9th Workshop on Robotics in Education, LARS/SBR/WRE 2018",,21100897936,,Conference Proceeding,,,8588610,577-584,,,5,0,,,,,
13,2-s2.0-85062037298,10.13245/j.hust.181214,,,Path planning for robots based on deep reinforcement learning by depth constraint,ar,Article,Wang K.,,Harbin Institute of Technology,Harbin,China,,,,,2018-12-23,23 December 2018,Huazhong Keji Daxue Xuebao (Ziran Kexue Ban)/Journal of Huazhong University of Science and Technology (Natural Science Edition),16714512,22382,,Journal,46,12,,77-82,,,6,0,,,,,
14,2-s2.0-85062013159,10.13245/j.hust.181212,,,Robot path planning algorithm based on reinforcement learning,ar,Article,Zhang F.,,Harbin Institute of Technology,Harbin,China,,,,,2018-12-23,23 December 2018,Huazhong Keji Daxue Xuebao (Ziran Kexue Ban)/Journal of Huazhong University of Science and Technology (Natural Science Edition),16714512,22382,,Journal,46,12,,65-70,,,21,0,,,,,
15,2-s2.0-85060879074,10.1109/INFORINO.2018.8581722,,,Typical Computational-Experimental Tasks and Research Work of Students in the Course of Robotics,cp,Conference Paper,Kapustina O.M.,,National Research University “Moscow Power Engineering Institute”,Moscow,Russian Federation,,,,,2018-12-19,19 December 2018,"2018 4th International Conference on Information Technologies in Engineering Education, Inforino 2018 - Proceedings",,21100896986,,Conference Proceeding,,,8581722,,,,2,0,,,,,
16,2-s2.0-85060831611,10.1109/ICARCV.2018.8581080,,,Learning Under-Specified Object Manipulations from Human Demonstrations,cp,Conference Paper,Qian K.,,Southeast University,Nanjing,China,,,,,2018-12-18,18 December 2018,"2018 15th International Conference on Control, Automation, Robotics and Vision, ICARCV 2018",,21100896871,,Conference Proceeding,,,8581080,1936-1941,,,2,0,,,,,
17,2-s2.0-85060053928,,,,"2018 International Conference on Control, Power, Communication and Computing Technologies, ICCPCCT 2018",cr,Conference Review,,,,,,,,,,2018-12-12,12 December 2018,"2018 International Conference on Control, Power, Communication and Computing Technologies, ICCPCCT 2018",,21100894736,,Conference Proceeding,,,,,,,0,0,,,,,
18,2-s2.0-85060278995,10.1109/ICCAIS.2018.8570467,,,Sparse Pointcloud Map Fusion of Multi-Robot System,cp,Conference Paper,Sun S.,,Changshu Institute of Technology;China University of Mining and Technology,Changshu;Xuzhou,China;China,,,,,2018-12-07,7 December 2018,"ICCAIS 2018 - 7th International Conference on Control, Automation and Information Sciences",,21100895608,,Conference Proceeding,,,8570467,270-274,,,4,0,,,,,
19,2-s2.0-85058018578,10.1108/IR-06-2018-0120,,,Application of mixed reality in robot manipulator programming,ar,Article,Neves J.,,"University of Coimbra, Centre for Mechanical Engineering, Materials and Processes",Coimbra,Portugal,,,,,2018-12-07,7 Dec 2018,Industrial Robot,0143991X,18047,,Journal,45,6,,784-793,,,23,0,,,,,
20,2-s2.0-85060588522,10.1109/UBMK.2018.8566394,,,A Mobile Framework for Monitoring Sensory Data for Improved Human Robot Interaction,cp,Conference Paper,Unvermis T.,,İstanbul Teknik Üniversitesi,Istanbul,Turkey,,,,,2018-12-06,6 December 2018,UBMK 2018 - 3rd International Conference on Computer Science and Engineering,,21100896391,,Conference Proceeding,,,8566394,336-341,,,0,0,,,,,
21,2-s2.0-85060613367,10.1109/CSCI.2017.206,,,An Integrated Framework of Online Peer Assessment Module Embedded in Moodle,cp,Conference Paper,Hu Q.,,East China University of Science and Technology,Shanghai,China,,,,,2018-12-04,4 December 2018,"Proceedings - 2017 International Conference on Computational Science and Computational Intelligence, CSCI 2017",,21100896385,,Conference Proceeding,,,8560966,1180-1182,,,0,0,,,,,
22,2-s2.0-85060588959,10.1109/CSCI.2017.214,,,EFunBlocks: A Component Based Function Block Intepreter for the Microchip PIC24F Family,cp,Conference Paper,Jeff B.,,,,,,,,,2018-12-04,4 December 2018,"Proceedings - 2017 International Conference on Computational Science and Computational Intelligence, CSCI 2017",,21100896385,,Conference Proceeding,,,8560974,1211-1213,,,0,0,,,,,
23,2-s2.0-85059983701,10.1109/COASE.2018.8560457,,,Performance Evaluation of the Dyna-Q algorithm for Robot Navigation,cp,Conference Paper,Vitolo E.,,Universidad de Zaragoza,Zaragoza,Spain,,,,,2018-12-04,4 December 2018,IEEE International Conference on Automation Science and Engineering,21618070,20500195424,21618089,Conference Proceeding,2018-August,,8560457,322-327,,,3,0,,,,,
24,2-s2.0-85068382014,10.1109/ITOEC.2018.8740378,,,Robot navigation method based on intelligent evolution,cp,Conference Paper,Li Z.,,University of Southern California,Los Angeles,United States,,,,,2018-12-01,December 2018,"Proceedings of 2018 IEEE 4th Information Technology and Mechatronics Engineering Conference, ITOEC 2018",,21100914864,,Conference Proceeding,,,8740378,620-624,,,2,0,,,,,
25,2-s2.0-85067457183,10.1109/ICIT.2018.00042,,,FireDS-IoT: A Fire Detection System for Smart Home Based on IoT Data Analytics,cp,Conference Paper,Bhoi S.,,"BPUT, Parala Maharaja Engineering College",Berhampur,India,,,,,2018-12-01,December 2018,"Proceedings - 2018 International Conference on Information Technology, ICIT 2018",,21100912317,,Conference Proceeding,,,8724380,161-165,,,17,0,,,,,
26,2-s2.0-85056790641,10.1016/j.swevo.2018.03.014,S2210650217306776,,Synergism of Firefly Algorithm and Q-Learning for Robot Arm Path Planning,ar,Article,Sadhu A.K.,,Jadavpur University,Kolkata,India,,,,,2018-12-01,December 2018,Swarm and Evolutionary Computation,22106502,19900192513,,Journal,43,,,50-68,,,47,0,,,,,
27,2-s2.0-85053797358,10.1016/j.robot.2018.08.016,S0921889017307856,,Context-aware 3D object anchoring for mobile robots,ar,Article,Günther M.,,German Research Center for Artificial Intelligence (DFKI),Kaiserslautern,Germany,,,,,2018-12-01,December 2018,Robotics and Autonomous Systems,09218890,18079,,Journal,110,,,12-32,,,7,0,,,,,
28,2-s2.0-85052873205,10.1186/s40648-018-0120-z,,,Design of robot programming software for the systematic reuse of teaching data including environment model,ar,Article,Hanai R.,,National Institute of Advanced Industrial Science and Technology,Tsukuba,Japan,,,,,2018-12-01,1 December 2018,ROBOMECH Journal,,21100853738,21974225,Journal,5,1,21,,,,2,1,publisherfullgold,Gold,,,
29,2-s2.0-85049862755,10.1177/0278364918781001,,,Data-driven planning via imitation learning,ar,Article,Choudhury S.,,Carnegie Mellon University,Pittsburgh,United States,,,,,2018-12-01,1 December 2018,International Journal of Robotics Research,02783649,18050,17413176,Journal,37,13-14,,1632-1672,,,21,1,repositoryam,Green,,,
