,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85010224351,10.1109/HUMANOIDS.2016.7803298,,,Biological movement detector enhances the attentive skills of humanoid robot iCub,cp,Conference Paper,Vignolo A.,,"Dipartimento di Informatica, Bioingegneria, Robotica e Ingegneria dei Sistemi;Istituto Italiano di Tecnologia",Genoa;Genoa,Italy;Italy,,,,,2016-12-30,30 December 2016,IEEE-RAS International Conference on Humanoid Robots,21640572,21100197357,21640580,Conference Proceeding,,,7803298,338-344,,,12,0,,,,,
1,2-s2.0-85010197125,10.1109/HUMANOIDS.2016.7803414,,,Learning to reach by building a representation of peri-personal space,cp,Conference Paper,Juett J.,,"University of Michigan, Ann Arbor",Ann Arbor,United States,,,,,2016-12-30,30 December 2016,IEEE-RAS International Conference on Humanoid Robots,21640572,21100197357,21640580,Conference Proceeding,,,7803414,1141-1148,,,8,0,,,,,
2,2-s2.0-85000983833,10.1098/rsta.2016.0360,,28336805,What is data ethics?,re,Review,Floridi L.,,Oxford Social Sciences Division;Alan Turing Institute,Oxford;London,United Kingdom;United Kingdom,,,,,2016-12-28,28 December 2016,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",1364503X,29784,,Journal,374,2083,,,,,178,1,repositoryam,Green,,,
3,2-s2.0-85010053565,10.1109/IECON.2016.7793038,,,Tool compensation in walk-through programming for admittance-controlled robots,cp,Conference Paper,Landi C.T.,,Università degli Studi di Modena e Reggio Emilia,Modena,Italy,,,,,2016-12-21,21 December 2016,IECON Proceedings (Industrial Electronics Conference),,56670,,Conference Proceeding,,,7793038,5335-5340,,,19,0,,,,,
4,2-s2.0-85010023393,10.1109/IECON.2016.7793685,,,Registration between robot and workpiece in virtual environment for off-line programming,cp,Conference Paper,Hwang M.J.,,Korea National University of Transportation,Chungju,South Korea,,,,,2016-12-21,21 December 2016,IECON Proceedings (Industrial Electronics Conference),,56670,,Conference Proceeding,,,7793685,779-784,,,2,0,,,,,
5,2-s2.0-85011116066,10.1109/FAS-W.2016.67,,,A framework for adaptive and goal-driven behaviour control of multi-robot systems,cp,Conference Paper,Hrabia C.E.,,Technische Universität Berlin,Berlin,Germany,,,,,2016-12-16,16 December 2016,"Proceedings - IEEE 1st International Workshops on Foundations and Applications of Self-Systems, FAS-W 2016",,21100793707,,Conference Proceeding,,,7789484,275-280,,,4,0,,,,,
6,2-s2.0-85011305892,,,,CACIDI 2016 - Congreso Aergentino de Ciencias de la Informatica y Desarrollos de Investigacion,cr,Conference Review,,,,,,,,,,2016-12-15,15 December 2016,CACIDI 2016 - Congreso Aergentino de Ciencias de la Informatica y Desarrollos de Investigacion,,21100793814,,Conference Proceeding,,,,,,,0,0,,,,,
7,2-s2.0-85018600991,10.4018/978-1-5225-1759-7.ch009,,,Design and implementation of BIOLOID humanoid robot,ch,Book Chapter,Ayala H.,,Alabama A and M University,Huntsville,United States,,,,,2016-12-12,12 December 2016,"Artificial Intelligence: Concepts, Methodologies, Tools, and Applications",,21100810756,,Book,1,,,228-244,,,0,0,,,,,
8,2-s2.0-85010288545,10.1109/ICARSC.2016.52,,,Metabot: A Low-Cost Legged Robotics Platform for Education,cp,Conference Paper,Passault G.,,Laboratoire Bordelais de Recherche en Informatique,Talence,France,,,,,2016-12-12,12 December 2016,"Proceedings - 2016 International Conference on Autonomous Robot Systems and Competitions, ICARSC 2016",,21100792729,,Conference Proceeding,,,7781990,283-287,,,8,0,,,,,
9,2-s2.0-85010417182,10.1109/ICA-ACCA.2016.7778503,,,Humanoid interpreter for teaching basic sign language,cp,Conference Paper,Acuna F.,,Universidad de las Fuerzas Armadas ESPE,Sangolqui,Ecuador,,,,,2016-12-08,8 December 2016,"2016 IEEE International Conference on Automatica, ICA-ACCA 2016",,21100792710,,Conference Proceeding,,,7778503,,,,2,0,,,,,
