,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-84964834401,10.1109/BLOCKS.2015.7369021,,,MUzECS: Embedded blocks for exploring computer science,cp,Conference Paper,Bajzek M.,,Marquette University,Milwaukee,United States,,,,,2015-12-30,30 December 2015,"Proceedings - 2015 IEEE Blocks and Beyond Workshop, Blocks and Beyond 2015",,21100456830,,Conference Proceeding,,,7369021,127-132,,,4,0,repositoryam,Green,,,
1,2-s2.0-84964077915,10.1109/DSP-SPE.2015.7369567,,,Using the ARM Cortex-M4 and the CMSIS-DSP library for teaching real-time DSP,cp,Conference Paper,Wickert M.,,University of Colorado at Colorado Springs,Colorado Springs,United States,,,,,2015-12-30,30 December 2015,"2015 IEEE Signal Processing and Signal Processing Education Workshop, SP/SPE 2015",,21100456123,,Conference Proceeding,,,7369567,283-288,,,7,0,,,,,
2,2-s2.0-84959882239,10.1109/DASIP.2015.7367240,,,"Robot navigation based on an efficient combination of an extended A∗algorithm, bird's eye view and image stitching",cp,Conference Paper,Rettkowski J.,,Ruhr-Universitat Bochum,Bochum,Germany,,,,,2015-12-28,28 December 2015,"Conference on Design and Architectures for Signal and Image Processing, DASIP",21649766,21100198506,,Conference Proceeding,2015-December,,7367240,,,,0,0,,,,,
3,2-s2.0-84959875792,10.1109/DASIP.2015.7367250,,,Selecting most profitable instruction-set extensions using ant colony heuristic,cp,Conference Paper,Wang S.,,Liaoning Technical University,Fuxin,China,,,,,2015-12-28,28 December 2015,"Conference on Design and Architectures for Signal and Image Processing, DASIP",21649766,21100198506,,Conference Proceeding,2015-December,,7367250,,,,2,0,,,,,
4,2-s2.0-84940614866,10.1016/j.neucom.2014.09.092,S0925231215005676,,A hierarchical path planning approach based on A<sup>*</sup> and least-squares policy iteration for mobile robots,ar,Article,Zuo L.,,National University of Defense Technology China,Changsha,China,,,,,2015-12-25,25 December 2015,Neurocomputing,09252312,24807,18728286,Journal,170,,,257-266,,,61,0,,,,,
5,2-s2.0-84962312047,10.1109/HUMANOIDS.2015.7363477,,,Refining discovered symbols with multi-step interaction experience,cp,Conference Paper,Ugur E.,,Universität Innsbruck,Innsbruck,Austria,,,,,2015-12-22,22 December 2015,IEEE-RAS International Conference on Humanoid Robots,21640572,21100197357,21640580,Conference Proceeding,2015-December,,7363477,1007-1012,,,11,0,,,,,
6,2-s2.0-84962302925,10.1109/HUMANOIDS.2015.7363576,,,Multi-purpose natural language understanding linked to sensorimotor experience in humanoid robots,cp,Conference Paper,Ovchinnikova E.,,Karlsruher Institut für Technologie,Karlsruhe,Germany,,,,,2015-12-22,22 December 2015,IEEE-RAS International Conference on Humanoid Robots,21640572,21100197357,21640580,Conference Proceeding,2015-December,,7363576,365-372,,,11,0,,,,,
7,2-s2.0-84962441475,10.1109/RoboMech.2015.7359497,,,Developing a Java based RFID application to automate student attendance monitoring,cp,Conference Paper,Kuriakose R.B.,,"Central University of Technology, Free State",Bloemfontein,South Africa,,,,,2015-12-16,16 December 2015,"Proceedings of the 2015 Pattern Recognition Association of South Africa and Robotics and Mechatronics International Conference, PRASA-RobMech 2015",,21100455206,,Conference Proceeding,,,7359497,48-53,,,17,0,,,,,
8,2-s2.0-84962406574,10.1109/IMCTL.2015.7359549,,,Introducing an innovative robot-based mobile platform for programming learning,cp,Conference Paper,Manousaridis K.,,Mediterranean College of Thessaloniki,Thessaloniki,Greece,,,,,2015-12-16,16 December 2015,"Proceedings of 2015 International Conference on Interactive Mobile Communication Technologies and Learning, IMCL 2015",,21100455182,,Conference Proceeding,,,7359549,33-38,,,1,0,repositoryam,Green,,,
9,2-s2.0-84961942725,10.1109/CLEI.2015.7360041,,,Using the Kinect sensor with open source tools for the development of educational games for kids in pre-school age,cp,Conference Paper,Fernández R.,,Universidad Nacional de Asuncion,San Lorenzo,Paraguay,,,,,2015-12-16,16 December 2015,"Proceedings - 2015 41st Latin American Computing Conference, CLEI 2015",,21100454617,,Conference Proceeding,,,7360041,,,,5,0,,,,,
