,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-84871553727,,,,"Proceedings - 2012 Brazilian Robotics Symposium and Latin American Robotics Symposium, SBR-LARS 2012",cr,Conference Review,,,,,,,,,,2012-12-31,2012,"Proceedings - 2012 Brazilian Robotics Symposium and Latin American Robotics Symposium, SBR-LARS 2012",,21100223761,,Conference Proceeding,,,,,,,0,0,,,,,
1,2-s2.0-84871552255,10.1109/SBR-LARS.2012.58,,,An FPGA-based robotics platform for educational and research applications,cp,Conference Paper,Siqueira M.,,Universidade Tecnológica Federal do Paraná,Curitiba,Brazil,,,,,2012-12-31,2012,"Proceedings - 2012 Brazilian Robotics Symposium and Latin American Robotics Symposium, SBR-LARS 2012",,21100223761,,Conference Proceeding,,,6363362,313-318,,,3,0,,,,,
2,2-s2.0-84871500406,10.1109/TALE.2012.6360328,,,An advanced C programming course for the embedded systems development,cp,Conference Paper,Ling M.,,Southeast University,Nanjing,China,,,,,2012-12-28,2012,"Proceedings of IEEE International Conference on Teaching, Assessment, and Learning for Engineering, TALE 2012",,21100223704,,Conference Proceeding,,,6360328,,,,0,0,,,,,
3,2-s2.0-84871497650,10.1109/TALE.2012.6360360,,,A system to assist the learning of embedded microprocessor programming,cp,Conference Paper,Fung Y.,,Hong Kong Polytechnic University,Kowloon,Hong Kong,,,,,2012-12-28,2012,"Proceedings of IEEE International Conference on Teaching, Assessment, and Learning for Engineering, TALE 2012",,21100223704,,Conference Proceeding,,,6360360,,,,2,0,,,,,
4,2-s2.0-84871426910,10.1007/978-3-642-33466-5_6,,,Application of NXT based robots for teaching Java-based concurrency,cp,Conference Paper,Szweda Ł.,,Poznań University of Economics and Business,Poznan,Poland,,,,,2012-12-27,2012,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),03029743,25674,16113349,Book Series,7516 LNCS,,,54-64,,,1,0,,,,,
5,2-s2.0-84870908145,10.1109/VLHCC.2012.6344546,,,A mobile visual programming system for Android smartphones and tablets,cp,Conference Paper,Slany W.,,"Graz University of Technology, Institute of Software Technology",Graz,Austria,,,,,2012-12-17,2012,"Proceedings of IEEE Symposium on Visual Languages and Human-Centric Computing, VL/HCC",19436092,21100223148,19436106,Conference Proceeding,,,6344546,265-266,,,14,0,,,,,
6,2-s2.0-84870743538,10.1007/978-3-642-32723-0_43,,,"A low-cost multi-robot system for research, teaching, and outreach",cp,Conference Paper,McLurkin J.,,Rice University,Houston,United States,,,,,2012-12-13,2012,Springer Tracts in Advanced Robotics,16107438,4900152703,1610742X,Book Series,83 STAR,,,597-609,,,50,0,,,,,
7,2-s2.0-84934298372,10.1007/978-94-6091-725-7_10,,,"Activity theory as a lens to examine project-based museum partnerships in robotics tools, challenges and emergent learning opportunities",ch,Book Chapter,Rahm J.,,University of Montreal,Montreal,Canada,,,,,2012-12-01,1 December 2012,Understanding Interactions at Science Centers and Museums: Approaching Sociocultural Perspectives,,21100397755,,Book,9789460917257,,,147-171,,,5,0,,,,,
8,2-s2.0-84898124633,10.4018/978-1-4666-0291-5.ch008,,,Human-friendly robots for entertainment and education,ch,Book Chapter,Solis J.,,Waseda University;Karlstads Universitet,Tokyo;Karlstad,Japan;Sweden,,,,,2012-12-01,2012,Service Robots and Robotics: Design and Application,,21100302392,,Book,,,,130-153,,,1,0,,,,,
9,2-s2.0-84893195023,,,,Cloud computing for teaching and learning MPI with improved network communications,cp,Conference Paper,Gomez-Folgar F.,,Universidad de Santiago de Compostela,Santiago de Compostela,Spain,,,,,2012-12-01,2012,CEUR Workshop Proceedings,16130073,21100218356,,Conference Proceeding,945,,,22-27,,,5,0,,,,,
