,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85050587476,10.1109/CAC.2017.8244061,,,Application of deep reinforcement learning in mobile robot path planning,cp,Conference Paper,Xin J.,,Xi'an University of Technology,Xi'an,China,,,,,2017-12-29,29 December 2017,"Proceedings - 2017 Chinese Automation Congress, CAC 2017",,21100870250,,Conference Proceeding,2017-January,,,7112-7116,,,57,0,,,,,
1,2-s2.0-85050282162,10.1109/CAC.2017.8244006,,,A survey of graphical programming language and its applications in intelligent buildings,cp,Conference Paper,Xue G.,,Logistical Engineering University China,Chongqing,China,,,,,2017-12-29,29 December 2017,"Proceedings - 2017 Chinese Automation Congress, CAC 2017",,21100869185,,Conference Proceeding,2017-January,,,6822-6828,,,0,0,,,,,
2,2-s2.0-85045531982,10.1145/3176653.3176691,,,Empirical study of multimedia learning object to enhance introductory programming learning,cp,Conference Paper,Matthews R.,,The University of Nottingham Malaysia Campus,Semenyih,Malaysia,,,,,2017-12-27,27 December 2017,ACM International Conference Proceeding Series,,11600154611,,Conference Proceeding,,,,212-217,,,0,0,,,,,
3,2-s2.0-85044472577,10.1109/HUMANOIDS.2017.8246903,,,Autonomous narration of humanoid robot kitchen task experience,cp,Conference Paper,Zhu Q.,,Karlsruher Institut für Technologie,Karlsruhe,Germany,,,,,2017-12-22,22 December 2017,IEEE-RAS International Conference on Humanoid Robots,21640572,21100197357,21640580,Conference Proceeding,,,,390-397,,,7,0,,,,,
4,2-s2.0-85044448938,10.1109/HUMANOIDS.2017.8246914,,,Trial-And-error learning of repulsors for humanoid QP-based whole-body control,cp,Conference Paper,Spitz J.,,Université de Lorraine;LORIA Laboratoire Lorrain de Recherche en Informatique et ses Applications;INRIA Nancy,Nancy;Vandoeouvre-les-Nancy;Villers-les-Nancy,France;France;France,,,,,2017-12-22,22 December 2017,IEEE-RAS International Conference on Humanoid Robots,21640572,21100197357,21640580,Conference Proceeding,,,,468-475,,,6,0,repositoryam,Green,,,
5,2-s2.0-85044227273,10.1109/TENCON.2017.8228163,,,FPGA implementation of extreme learning machine system for classification,cp,Conference Paper,Yeam T.,,Universiti Teknologi Malaysia Kuala Lumpur,Kuala Lumpur,Malaysia,,,,,2017-12-19,19 December 2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",21593442,31517,21593450,Conference Proceeding,2017-December,,,1868-1873,,,14,0,,,,,
6,2-s2.0-85044339615,10.1109/SOCC.2017.8226056,,,FPGA-based CNN inference accelerator synthesized from multi-threaded C software,cp,Conference Paper,Kim J.H.,,University of Toronto,Toronto,Canada,,,,,2017-12-18,18 December 2017,International System on Chip Conference,21641676,21000195610,21641706,Conference Proceeding,2017-September,,,268-273,,,33,0,repositoryam,Green,,,
7,2-s2.0-85048501154,10.1109/SBR-LARS-R.2017.8215273,,,Donnie robot: Towards an accessible and educational robot for visually impaired people,cp,Conference Paper,Marques G.H.M.,,Pontifícia Universidade Católica do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2017-12-15,15 December 2017,"Proceedings - 2017 LARS 14th Latin American Robotics Symposium and 2017 5th SBR Brazilian Symposium on Robotics, LARS-SBR 2017 - Part of the Robotics Conference 2017",,21100864390,,Conference Proceeding,2017-December,,,1-6,,,2,0,,,,,
8,2-s2.0-85043983448,10.1109/ICCE-Berlin.2017.8210595,,,A deep learning convolution architecture for simple embedded applications,cp,Conference Paper,Kim C.,,Electronics and Telecommunications Research Institute,Daejeon,South Korea,,,,,2017-12-14,14 December 2017,"IEEE International Conference on Consumer Electronics - Berlin, ICCE-Berlin",21666814,21100223125,21666822,Conference Proceeding,2017-September,,,74-78,,,0,0,,,,,
9,2-s2.0-85041965599,10.1109/IROS.2017.8206515,,,Nut fastening with a humanoid robot,cp,Conference Paper,Pfeiffer K.,,Université de Montpellier;National Institute of Advanced Industrial Science and Technology,Montpellier;Tsukuba,France;Japan,,,,,2017-12-13,13 December 2017,IEEE International Conference on Intelligent Robots and Systems,21530858,66854,21530866,Conference Proceeding,2017-September,,8206515,6142-6148,,,9,0,repositoryam,Green,,,
