,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85081047407,10.1145/3375900.3375917,,,Trial to increase motivation on programming by using hardware control functions in the at visual programming environment,cp,Conference Paper,Kunimune H.,,Chiba Institute of Technology,Narashino,Japan,,,,,2019-12-18,18 December 2019,ACM International Conference Proceeding Series,,11600154611,,Conference Proceeding,,,,50-53,,,1,0,,,,,
1,2-s2.0-85077808398,10.1126/scirobotics.aay6276,,33137718,A formal methods approach to interpretable reinforcement learning for robotic planning,ar,Article,Li X.,,Boston University,Boston,United States,,,,,2019-12-18,18 December 2019,Science Robotics,,21100886132,24709476,Journal,4,37,eaay6276,,,,36,0,,,,,
2,2-s2.0-85077687602,10.1063/1.5139785,,,The contribution of robotics education in primary schools: Teaching and learning,cp,Conference Paper,Lathifah A.,,Universitas Sebelas Maret,Surakarta,Indonesia,,,,,2019-12-18,18 December 2019,AIP Conference Proceedings,0094243X,26916,15517616,Conference Proceeding,2194,,020053,,,,5,1,publisherfree2read,Bronze,,,
3,2-s2.0-85078264255,,,,"International Conference on Electrical, Electronic, Informatic and Vocational Education",cr,Conference Review,,,,,,,,,,2019-12-17,17 December 2019,Journal of Physics: Conference Series,17426588,130053,17426596,Conference Proceeding,1413,1,,,,,0,0,,,,,
4,2-s2.0-85077881895,10.1063/1.5140131,,,Methodology for teaching model-oriented design of mechatronic systems,cp,Conference Paper,Gavrylov R.S.,,Baltic State Technical University “VOENMEH”,Saint Petersburg,Russian Federation,,,,,2019-12-17,17 December 2019,AIP Conference Proceedings,0094243X,26916,15517616,Conference Proceeding,2195,,020031,,,,1,0,,,,,
5,2-s2.0-85077867844,10.1063/1.5140179,,,Methodological aspects of physical processes modeling,cp,Conference Paper,Radchenko I.,,"Bauman Moscow State Technical University, Kaluga branch",Kaluga,Russian Federation,,,,,2019-12-17,17 December 2019,AIP Conference Proceedings,0094243X,26916,15517616,Conference Proceeding,2195,,020079,,,,0,0,,,,,
6,2-s2.0-85078934832,10.1145/3366616.3368149,,,Towards a QoS-aware Cyber Physical Networking Middleware Architecture,cp,Conference Paper,Brinkschulte M.,,Universität Mannheim,Mannheim,Germany,,,,,2019-12-09,9 December 2019,"MISE 2019 - Proceedings of the 2019 1st International Workshop on Middleware for Lightweight, Spontaneous Environments, Part of Middleware 2019",,21100955809,,Conference Proceeding,,,,7-12,,,1,0,,,,,
7,2-s2.0-85105181098,10.4324/9780367854850-23,,,Sign language interpreting,ch,Book Chapter,Stone C.,,University of Wolverhampton,Wolverhampton,United Kingdom,,,,,2019-12-06,6 December 2019,The Routledge Handbook of Translation and Education,,21101044411,,Book,,,,367-381,,,0,0,,,,,
8,2-s2.0-85077474534,10.1088/1742-6596/1399/3/033116,,,Puck tracking system for aerohockey game with YOLO2,cp,Conference Paper,Tolmacheva A.E.,,Reshetnev Siberian State University of Science and Technology,Krasnoyarsk,Russian Federation,,,,,2019-12-05,5 December 2019,Journal of Physics: Conference Series,17426588,130053,17426596,Conference Proceeding,1399,3,033116,,,,3,1,publisherfree2read,Bronze,,,
9,2-s2.0-85078707371,10.1145/3369457.3369538,,,An AR/TUI-supported Debugging Teaching Environment,cp,Conference Paper,Resnyansky D.,,University of South Australia,Adelaide,Australia,,,,,2019-12-02,2 December 2019,ACM International Conference Proceeding Series,,11600154611,,Conference Proceeding,,,,590-594,,,5,0,,,,,
