,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85099357270,10.6041/j.issn.1000-1298.2020.12.002,,,Trajectory Planning Method for Apple Picking Manipulator Based on Stepwise Migration Strategy,ar,Article,Zheng C.,,Beijing Forestry University,Beijing,China,,,,,2020-12-25,25 December 2020,Nongye Jixie Xuebao/Transactions of the Chinese Society for Agricultural Machinery,10001298,59863,,Journal,51,12,,15-23,,,5,0,,,,,
1,2-s2.0-85102028671,10.1109/ETCCE51779.2020.9350882,,,Towards Developing an Automated Attendance Management System using Fingerprint Sensor,cp,Conference Paper,Khan N.I.,,Military Institute of Science and Technology,Dhaka,Bangladesh,,,,,2020-12-21,21 December 2020,"ETCCE 2020 - International Conference on Emerging Technology in Computing, Communication and Electronics",,21101039468,,Conference Proceeding,,,9350882,,,,0,0,,,,,
2,2-s2.0-85139546903,10.13976/j.cnki.xk.2020.9533,,,Construction of Deep Learning Model for Multilingual Robot,ar,Article,Ye N.,,Fuzhou Institute of Technology,Fuzhou,China,,,,,2020-12-20,20 December 2020,Information and Control,10020411,21100294000,,Journal,49,6,,680-687,,,0,0,,,,,
3,2-s2.0-85119297416,10.1145/3442536.3442546,,,Development of robotic quiz games for self-regulated learning of primary school children,cp,Conference Paper,Weng T.S.,,National Chiayi University,Chiayi,Taiwan,,,,,2020-12-18,18 December 2020,ACM International Conference Proceeding Series,,11600154611,,Conference Proceeding,,,,58-62,,,3,0,,,,,
4,2-s2.0-85112426675,10.1109/ICOT51877.2020.9468807,,,Robot as an constructive learning tool for computer programming: The practices in Taiwan,cp,Conference Paper,Tseng S.P.,,Changzhou College of Information Technology,Changzhou,China,,,,,2020-12-18,18 December 2020,"2020 8th International Conference on Orange Technology, ICOT 2020",,21101055755,,Conference Proceeding,,,9468807,,,,0,0,,,,,
5,2-s2.0-85098458080,10.6041/j.issn.1000-1298.2020.S2.001,,,Obstacle Avoidance Planning of Virtual Robot Picking Path Based on Deep Reinforcement Learning,ar,Article,Xiong J.,,South China Agricultural University,Guangzhou,China,,,,,2020-12-18,18 December 2020,Nongye Jixie Xuebao/Transactions of the Chinese Society for Agricultural Machinery,10001298,59863,,Journal,51,,,1-10,,,3,0,,,,,
6,2-s2.0-85100120002,10.1109/ICARCV50220.2020.9305418,,,Real-time Obstacle Avoidance in Robotic Manipulation Using Imitation Learning,cp,Conference Paper,Huang J.,,State Grid Anhui Electric Power Company,Hefei,China,,,,,2020-12-13,13 December 2020,"16th IEEE International Conference on Control, Automation, Robotics and Vision, ICARCV 2020",,21101034443,,Conference Proceeding,,,9305418,976-981,,,0,0,,,,,
7,2-s2.0-85099775978,10.1109/ICAMechS49982.2020.9310129,,,Reinforcement Learning based Method for Autonomous Navigation of Mobile Robots in Unknown Environments,cp,Conference Paper,Van Hoa R.,,University of Economic and Technical Industries,Hanoi,Viet Nam,,,,,2020-12-10,10 December 2020,"International Conference on Advanced Mechatronic Systems, ICAMechS",23250682,21100296212,23250690,Conference Proceeding,2020-December,,9310129,266-269,,,1,0,,,,,
8,2-s2.0-85102973727,10.1109/TALE48869.2020.9368410,,,Augmented reality-supported tangible gamification for debugging learning,cp,Conference Paper,Resnyansky D.,,University of South Australia,Adelaide,Australia,,,,,2020-12-08,8 December 2020,"Proceedings of 2020 IEEE International Conference on Teaching, Assessment, and Learning for Engineering, TALE 2020",,21101041100,,Conference Proceeding,,,9368410,377-383,,,2,0,,,,,
9,2-s2.0-85102969918,10.1109/TALE48869.2020.9368459,,,"Exploring the relationship between collaborative discourse, programming actions, and cybersecurity and computational thinking knowledge",cp,Conference Paper,Yett B.,,Vanderbilt University School of Engineering,Nashville,United States,,,,,2020-12-08,8 December 2020,"Proceedings of 2020 IEEE International Conference on Teaching, Assessment, and Learning for Engineering, TALE 2020",,21101041100,,Conference Proceeding,,,9368459,213-220,,,0,0,,,,,
